correct,incorrect,total_edits
"On the one hand , you put all your things in the car and drive anywhere you want to . On the other hand , if you feel not well enough to drive , you have no money to buy a car , or the downtown of your city is closed to all means of transport except for public ones , the tram , bus or trolleybus is your way out .","On one hand you put all your things in the car and drive anywhere you want to , on the other hand if you feel not very well to drive , you have no money to buy a car or the downtown of your city is closed for all the means of transport except for the public ones : tram , bus or trolley bus is your wayout .",12
Topic : A Horrible Nightmare,Topic : A Horrible Nightmare,0
"Two hours later , they were in the emergency room of Cáceres Hospital and the doctors were treating Jon ' s leg .",Two hours later they were in the room of urgency of Cáceres Hospital and the doctors were curing Jon ' leg .,4
Every Monday there is a street market in the central square .,Every Monday there is a street market in the central square .,0
"What is more , parents always consider their child the best .","What is more , parents always consider their child best .",1
I think the best teacher is a person who has professional knowledge and good teaching skills .,I think the best teacher is a person who has professional knowledge and good teaching skills .,0
"Once upon a time , a boy was six years old .",Once upon a time a boy was six years old .,1
We have a lot of nice old towns .,We have a lot of nice old town .,1
Another option :,another option :,1
We all walk down the same path because this is how it is meant to be .,We all walk down the same path because this is how it is meant to be .,0
"Another key factor was the coach , who knew how to convey the skills and techniques to children .","Another key factor was the coach , who knew how to convey the skills and techniques to children .",0
"Unfortunately , Agatha ca n't find sufficient clues to identify the guilty party .","Unfortunately , Agatha ca n't find sufficents trials for understanding the guilty .",5
"First of all , I want to sincerely thank you for the opportunity to provide quick ways to begin saving environmental resources .","First of all , I want to sincerely thank you for the opportunistic offer to proved quick ways to begin saving environmental resources .",2
The door opened .,The door opened .,0
Some experience this very easily and often .,Some experience so easily and often .,2
"In my opinion , the biggest problem with buses is that they are becoming very degraded and in desperate need of repair .","In my opinion , the biggest problem with buses is that they are becoming very degraded , and in desperate need of repair .",1
"The internet has caused me depression once . I felt really alone and I used to be someone who I was n't in real life , but I learned how to deal with it .","The internet has caused me depression once , I felt really alone and I used to be someone who I was n't in the real life , but I learned how to deal with it .",2
""" I ca n't . """,""" I ca n't """,1
"Response : I am seeking a salary in the € 40000 range , plus benefits .",Response : I am seeking a salary in the € 40000 range plus benefits .,1
"So , transportation is one of the most important issues facing mankind , because it is related to interaction between people , like trade and many other purposes .","So that , transportation was one of the most important issues faced human , because it is related to the interaction between people like trading and many other purposes .",7
"Prior to the automobile , is the horse and wagon life , it was not feasible for people to live far from their place of work .","Prior to the automobile , is the horse and wagon life , it is not feasible for people to live far from their place of work .",1
"The problem is that a person has to carry his coat in one hand with his other purchases , which is not so easy .","The problem is that a person has to carry his coat in a hand near his other purchases , what is not so easy .",3
"I recently joined a campaign program in Manila , Philippines , dedicated to protecting and preserving our natural resources .","I recently joined a campaign program in Manila , Philippines dedicated to protecting and preserving our natural resources .",1
It 's the fastest and most comfortable way to get to your favourite destination .,It 's the fastest and most comfortable way to get to your favourite destination .,0
"We stayed there for 4 days and we visited Taormina , Siracusa , Agrigento , Marsala and a small part of Trapani .","We stayed here for 4 days and we visited Taormina , Siracusa , Agrigento , Marsala and a little part of Trapani .",2
"In my case , this role is played by them .","In my case , this role is played by them .",0
"But my new friends from this group were very polite and we worked together , so it was much easier than I thought at first .","But my new friends from this group were very polite and we worked together , so it was much easier , than I thought at first .",1
"Design is the first stage , which includes three parts : background , artwork and security issues .","Design is the first stage , which contains three parts : background , artwork and security issues .",1
"On the weekend , I wake up at 6:15am , but I get up at 7 am . I still study French with Mrs Alexa as usual . Saturday afternoon I hang out with my boyfriend . We go to the cinema or the coffee shop .","On the weekend , I wake up at 6:15am but I get up at 7 am . I still study French with Mrs Alexa as usual . Saturday afternoon I hang out with my boyfriend , we go to the cinema or the coffee shop .",2
The floor is also a problem .,The floor is also a problem .,0
"I like a lot of activities , such as travelling , reading , playing soccer and watching movies .","I like a lot of activities such as travelling , readillng , play soccer and watch movies .",4
The first item in my collection was an ABC book .,The first item in my collection is ABC book .,1
"One night , Paxton was speaking with them about the crown that had spoken with an old man ( Bob Cartes ) and said to him to about the family Agers who protected the crown .",One night Paxton was speaking them about the crown that had spoken with an old man ( Bob Cartes ) and said to him to about the family Agers who protected the crown .,2
Every day I take public transport .,Every day I used to taking public transport .,2
That is one of my favorite sports .,That is one of my favorite sports,1
"As an international learner , I embraced these changes in my learning strategies , primarily because these new learning strategies of academic style are important for my future course .","As an international learner , I embraced these changes in my learning strategies , primarily because these new learning strategies of academic style significant for my future course .",2
"Additionally , terrible wars will break out if one group of magic possessors get greedy and try to take away other people 's powers .","Additionally , terrible wars will break out if one side of the magic possessors get greedy and try to take away other people 's powers .",2
"Also , the absence of magic would alter the overall plot .","Also , the absence of magic would alter the overall plot .",0
Where should we meet ?,Where should we meet ?,0
Michael was surprised .,Michael was surprised .,0
"However , my grammar is not that bad .","However , my grammar is not that bad .",0
"One thing that I 've learned in my life is that you should never take a break from your everyday routine unless you really need to , due to fatigue or for some other physical or psychological reason , otherwise you will be , I repeat , just wasting time , time that you could be spending in a useful way , by getting something done , or improving yourself academically , intellectually or doing whatever you think can enrich your life .","One thing that I 've learned in my life is that you never should take a break from your everyday routine unless you really need , due to fatigue or some other physical or pscychological reason , otherwise you will be , I repeat , just wasting time , time that you could be spending in an usefull way , by getting something done , or improving yourself academically , intelectualy or doing whatever you think that can enrich your life .",8
"Just by reading this , you can imagine this fairy king chanting a spell on a purple flower called ' love in idleness ' and you can understand Cupid ( the Greek god of love ) had blessed this flower with his archery , giving you an understanding that this is a love potion .","Just by reading this , you can imagine this fairy king chanting a spell on a purple flower called ' love in idleness ' and you can understand Cupid ( the Greek god of love ) had blessed this flower with his archery , giving you an understanding that this is a love potion .",0
"Your key takeaway # 3 was shocking for me , the feeling of being a nuisance is dreadful .","Your key takeaway # 3 was shocking for me , the feeling of being a nuisance is dreadful .",0
"I would describe myself as a sociable , responsible , trustworthy and hardworking person who likes working with children .","I describe myself as a sociable , responsible , trustworthy and hardworking person which likes working with children .",2
It was a trip I 'll never forget .,It was a trip I 'll never forget .,0
I think you will like it just like me .,I think you will like it just as me .,1
There are good points but a lot of work must be done to achieve the eco - friendly title .,There is good points but a lot of work must be done to achieve the eco - friendly title .,1
"Finally , I think that the most used mode of transport in the cities in the future will be the bus , metro and bike , and for travelling between cities , the car will remain the most used .","For the finish , I think that the transport most use in the cities in the future will be the bus , metro and bike and for travelling enter cities the car will remain the most used .",5
"The film I 'd like to talk about is "" Secret Life of Walter Mitty "" .","The film I 'd like to talk about is "" Secret Life of Walter Mitty "" .",0
We can still see many ancient structures which show the main trend of architecture at that time .,We can still see many ancient structures which show the main trend of architecture at that time .,0
"I am also a very creative person , so I will not have any problems with organising activities and competitions for children . I am a reliable person and I can work under pressure .","I am also very creative person , so I will not have any problems with organising activities and competitions for children . I am reliable person and I can work under pressure of time .",3
I hope that you will take advantage of my proposal .,I hope that you will take advantage of my proposal .,0
"From Red Square , you can easily see the Moscow Kremlin , St. Basil 's Cathedral , the State Historical Museum and Gum Department Store .","From the Red Square you can easily see Moscow Kremlin , St. Basils Cathedral , the State Historical Museum and Gum Trading House .",5
The town has approximately 15 villages and all of them are governed by the urban council .,The town has approximately 15 villages and all of them are governed by the urban council .,0
"It was a hot , sunny day . Peter decided to go to the waterfront promenade and have a walk .","It was a sunny and hot day , Peter decided to go to the waterfront promenade and have a walk .",2
"In addition , my academic education also stands out in my student life .","In addition , my academics education also stand out in my student life .",2
"So , according to my personal experiences , I think that children can benefit from keeping a pet .","So , according to my personal experiences , I think that children can benefit from keeping a pet .",0
"Unhealthy food and neglecting physical exercise increase the chances of getting fat and having problems with your heart , liver and other organs .","Unhealthy food and neglecting physical exercises increases the chances of getting fat and having problems with your heart , liver and other organs .",2
"In addition , I go jogging every Sunday morning with some friends .",Furthermore I go jogging every Sunday morning with some friends .,2
"In conclusion , fame may be nice , but it 's not an easy path to walk on .","In conclusion , fame may be nice but it 's not an easy path to walk on .",1
"It has a big mall that has recently been opened , and it contains everything the visitors might need .","It has a big mall that has been recently opened up , and it contains everything the visitors might need .",2
"To summarise , large - scale building projects create massive problems which are harmful to humans and animals , but the government can be helpful in solving these problems .","To summarise , large - scale building projects create massive problems which are harmful to human and animals , but the government can be helpful in solving these problems",2
Then the main course is the barbecued meat that is very tender and tasty .,Then the main course is the barbacued meet that is very tender and tasty .,2
It is a very beautiful T - shirt because I like the colour and the pattern .,It is a very beautiful T because -shirt I like the colour and the pattern .,3
Hi Jo !,Hi Jo !,0
There is a lot of private transport in the streets .,There are a lot of private transport in the streets .,1
"Dear friend ,","Dear friend ,",0
"Moreover , farming is one of the most crucial impacts of weather - related natural disasters , and it has caused a significant number of casualties for both mankind and animals .","Moreover , farming is one of the most crucial impacts of weather - related natural disasters , and it has caused an important number of casualties for both mankind as well as animals .",3
"The chilis restaurant at 123 Street , Toronto , is really a great place to hang out .","The chilis restaurant at 123 street , Toronto is really a great place to hang out .",2
Recently I saw a very interesting announcement in International Sports Monthly magazine .,Lately I have seen a very interesting announcement in International Sports Monthly magazine .,2
"That is to say , most small stores may have their own logos on mugs or even T - shirts and you are more likely to find handmade products in them .","That is to say , most small stores may have their own logos on mugs or even T - shirts and it is more likely to find handmade products in it .",3
They needed to think again about the budget and all of the other stuff .,They need to think again about the budget and all of the stuff .,2
"When the big family got off the plane , they realized that they were wearing too many clothes ; it was boiling ! !","When the big family get out of the plane , they realize that they were wearing too much clothes , it was boiling ! !",5
"Morocco is a kingdom , like Spain and England . We have a king and princes .","Morocco is a kingdoom , like Spain and England , We have king and princes .",3
Yours faithfully,Yours faithfully,0
